sepal_length,sepal_width,petal_length,petal_width,species,color,,,,,Predefined functions,,,,,,,,ADVANCED EXCEL FUNCTIONS,,,,,,,,,
5.7,4.4,1.5,0.4,setosa,pink,,,,,PRODUCT,FACT,ROUNDUP,ROUNDDOWN,,SUMIF,,,pink,,,,,,,,,
5.4,3.9,1.3,0.4,setosa,pink,,,,,21.30219,24,5.2,5.12,,4.3,,,Hlookup,,,,,,,,,
5.1,3.5,1.4,0.3,setosa,pink,,,,,MOD,ROUND,5,,,SUMIFS,,,sepal_length,5.1267,4.99,4.7389,4.683,5,5.49,4.6908,5,4.40908
5.7,3.8,1.7,0.3,setosa,pink,,,,,0.4,5.13,4.8,,,1.4,,,sepal_width,3.5,3,3.2,3.1,3.6,3.9,3.4,3.4,2.9
5.1,3.8,1.5,0.3,setosa,pink,,,,,SQRT,4.99,4.7,,,14.5,,,petal_length,1.4,1.4,1.3,1.5,1.4,1.7,1.4,1.5,1.4
5.4,3.4,1.7,0.2,setosa,pink,,,,,0.632455532,4.74,5,,,AVERAGEIFS,,,petal_width,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2
5.1,3.7,1.5,0.4,setosa,pink,,,,,0.632455532,4.68,5.5,,,3.74,,,species,setosa,setosa,setosa,setosa,setosa,setosa,setosa,setosa,setosa
4.6,3.6,1,0.2,setosa,pink,,,,,0.547722558,5,4.7,,,AVERAGEIF,,,color,pink,pink,pink,pink,pink,pink,pink,pink,pink
5.1,3.3,1.7,0.5,setosa,pink,,,,,0.547722558,5.49,5,,,1.422222222,,,,,,,,,,,,
4.8,3.4,1.9,0.2,setosa,pink,,,,,0.547722558,4.69,4.5,,,,,,pink,,,,,,,,,
5,3,1.6,0.2,setosa,pink,,,,,,5,5,,,,,,,,,,,,,,,
5,3.4,1.6,0.4,setosa,pink,,,,,,4.41,,,,,,,XLOOOKUP,,,,,,,,,
5.2,3.5,1.5,0.2,setosa,pink,,,,,,,,,,,,,pink,,,,,,,,,
5.2,3.4,1.4,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.7,3.2,1.6,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.8,3.1,1.6,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.4,3.4,1.5,0.4,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.2,4.1,1.5,0.1,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.5,4.2,1.4,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.9,3.1,1.5,0.1,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5,3.2,1.2,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.5,3.5,1.3,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.9,3.1,1.5,0.1,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.4,3,1.3,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.1,3.4,1.5,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5,3.5,1.3,0.3,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.5,2.3,1.3,0.3,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.4,3.2,1.3,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5,3.5,1.6,0.6,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.1,3.8,1.9,0.4,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.8,3,1.4,0.3,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.1,3.8,1.6,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
4.6,3.2,1.4,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5.3,3.7,1.5,0.2,setosa,pink,,,,,,,,,,,,,,,,,,,,,,
5,3.3,1.4,0.2,setosa,yellow,,,,,,,,,,,,,,,,,,,,,,
7,3.2,4.7,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.4,3.2,4.5,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,4.9,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.5,2.3,4,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.5,2.8,4.6,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.7,2.8,4.5,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.3,3.3,4.7,1.6,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
4.9,2.4,3.3,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.6,2.9,4.6,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.2,2.7,3.9,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5,2,3.5,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.9,3,4.2,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6,2.2,4,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.1,2.9,4.7,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.6,2.9,3.6,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.4,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.5,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,4.1,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.2,2.2,4.5,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.6,2.5,3.9,1.1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.9,3.2,4.8,1.8,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,4.9,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4.7,1.2,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.4,2.9,4.3,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.6,3,4.4,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.8,2.8,4.8,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5,1.7,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6,2.9,4.5,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.7,2.6,3.5,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.8,1.1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.7,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,3.9,1.2,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6,2.7,5.1,1.6,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.4,3,4.5,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6,3.4,4.5,1.6,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.7,1.5,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.3,2.3,4.4,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.1,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.5,2.5,4,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.5,2.6,4.4,1.2,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.6,1.4,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.8,2.6,4,1.2,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5,2.3,3.3,1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.6,2.7,4.2,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.7,3,4.2,1.2,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.7,2.9,4.2,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
6.2,2.9,4.3,1.3,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.1,2.5,3,1.1,versicolor,yellow,,,,,,,,,,,,,,,,,,,,,,
5.7,2.8,4.1,1.3,versicolor,white,,,,,,,,,,,,,,,,,,,,,,
6.3,3.3,6,2.5,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.1,3,5.9,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.3,2.9,5.6,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.8,2.2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.6,3,6.6,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
4.9,2.5,4.5,1.7,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.3,2.9,6.3,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.7,2.5,5.8,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.2,3.6,6.1,2.5,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.5,3.2,5.1,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.4,2.7,5.3,1.9,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.8,3,5.5,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.7,2.5,5,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.8,2.8,5.1,2.4,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.4,3.2,5.3,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.5,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.7,3.8,6.7,2.2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.7,2.6,6.9,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6,2.2,5,1.5,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.9,3.2,5.7,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.6,2.8,4.9,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.7,2.8,6.7,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.3,2.7,4.9,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.2,3.2,6,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.2,2.8,4.8,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.9,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.2,3,5.8,1.6,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.4,2.8,6.1,1.9,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.9,3.8,6.4,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.3,2.8,5.1,1.5,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.1,2.6,5.6,1.4,virginica,white,,,,,,,,,,,,,,,,,,,,,,
7.7,3,6.1,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.3,3.4,5.6,2.4,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.4,3.1,5.5,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6,3,4.8,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.4,2.1,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,5.6,2.4,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.1,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.8,3.2,5.9,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.5,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5.2,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,5,1.9,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.2,2,virginica,white,,,,,,,,,,,,,,,,,,,,,,
6.2,3.4,5.4,2.3,virginica,white,,,,,,,,,,,,,,,,,,,,,,
5.9,3,5.1,1.8,virginica,white,,,,,,,,,,,,,,,,,,,,,,
